Timestamp,OriginalPhotoPath,PixarPhotoPath,PixarPhotoDescription
2026-03-08T22:03:41Z,./original/20260209/2026-02-09-1435-cadbury-ice-cream.jpg,./pixar/20260209/2026-02-09-1435-cadbury-ice-cream-pixar.png,Ice Cream Time Pixar
2026-03-08T22:03:41Z,./original/20260209/2026-02-09-1707-monkey-fountain.jpg,./pixar/20260209/2026-02-09-1707-monkey-fountain-pixar.png,Monkey Fountain Pixar
2026-03-08T22:03:41Z,./original/20260209/2026-02-09-1749-yawning-hippo.jpg,./pixar/20260209/2026-02-09-1749-yawning-hippo-pixar.png,Yawning Hippo Pixar
2026-03-08T22:03:41Z,./original/20260209/2026-02-09-1751-bakubung-gate-map.jpg,./pixar/20260209/2026-02-09-1900-bakubung-gate-sign-pixar.png,Bakubung Gate Sign Pixar
2026-03-08T22:03:41Z,./original/20260209/2026-02-09-1953-family-dinner.jpg,./pixar/20260209/2026-02-09-1953-family-dinner-pixar.png,Family Dinner Pixar
2026-03-08T22:03:41Z,./original/20260209/2026-02-09-2054-kids-tv-time-2.jpg,./pixar/20260209/2026-02-09-2112-hippos-in-dam-pixar.png,Hippos in the dam Pixar
2026-02-13T10:00:00Z,"",./2026-02-13/01-plaisir-tasting.png,Plaisir wine tasting with nougats
2026-02-17T11:30:00Z,"",./2026-02-17/facebook-screenshot-vergenoegd.jpg,Vergenoegd Löw Duck Parade Collage
2026-02-21T12:00:00Z,./2026-02-21/2026-02-25-11-36-24-bo-kaap-mural.jpg,./2026-02-21/2026-02-25-11-36-36-bo-kaap-mural-pixar.png,Bo-Kaap Mural Family
2026-02-21T12:00:01Z,./2026-02-21/2026-02-25-11-37-18-bo-kaap-yellow-house.jpg,./2026-02-21/2026-02-25-11-37-31-bo-kaap-yellow-house-pixar.png,Bo-Kaap Yellow House
2026-02-21T12:00:02Z,./2026-02-21/2026-02-25-11-38-47-bo-kaap-green-wall.jpg,./2026-02-21/2026-02-25-11-38-56-bo-kaap-green-wall-pixar.png,Bo-Kaap Green Wall Family
2026-02-21T12:00:03Z,./2026-02-21/2026-02-25-11-40-28-bo-kaap-street-art.jpg,./2026-02-21/2026-02-25-11-40-38-bo-kaap-street-art-pixar.png,Bo-Kaap Street Art
2026-02-21T12:00:04Z,./2026-02-21/2026-02-25-11-48-00-belvedere-selfie.jpg,./2026-02-21/2026-02-25-11-48-09-belvedere-selfie-pixar.png,Belvedere Family Selfie
2026-02-21T12:00:05Z,./2026-02-21/2026-02-25-11-48-55-table-mountain-frame.jpg,./2026-02-21/2026-02-25-11-49-08-table-mountain-frame-pixar.png,Table Mountain Frame
2026-02-21T12:00:06Z,./2026-02-21/2026-02-25-11-41-32-squirrel-encounter.jpg,./2026-02-21/2026-02-25-11-41-44-squirrel-encounter-pixar.png,Squirrel Encounter
2026-02-21T12:00:07Z,./2026-02-21/2026-02-25-11-43-31-squirrel-closeup.jpg,./2026-02-21/2026-02-25-11-43-43-squirrel-closeup-pixar.png,Squirrel Closeup
2026-02-21T12:00:08Z,./2026-02-21/2026-02-25-11-44-32-park-tree.jpg,./2026-02-21/2026-02-25-11-44-42-park-tree-pixar.png,Park Tree Explorers
2026-02-21T12:00:09Z,./2026-02-21/2026-02-25-11-49-53-pool-time.jpg,./2026-02-21/2026-02-25-11-50-03-pool-time-pixar.png,Pool Time Lion's Head View
2026-02-21T12:00:10Z,./2026-02-21/2026-02-25-11-45-44-sushi-dinner.jpg,./2026-02-21/2026-02-25-11-45-53-sushi-dinner-pixar.png,Sushi Dinner Camps Bay
